time,X,Y,Vx,Vy,Ax,Ay
0.4560869,3.5786E+07,1521.647,-0.1418414,3336.309,-0.3109965,-1.277223E-05
0.4731513,4.56199E-06,-6.297359,1.756492E-05,-13.3094,3.712325E-05,5.104639E-11
0.4731513,3.633E+08,511.9497,-0.001427956,1082,-0.00301797,-4.151751E-09
0.4731513,3.5786E+07,1578.579,-0.1471484,3336.309,-0.3109965,-1.328062E-05
0.4900361,4.869154E-06,-6.522086,1.819174E-05,-13.3094,3.712325E-05,5.295627E-11
0.4900361,3.633E+08,530.2191,-0.001478914,1082,-0.00301797,-4.306997E-09
0.4900361,3.5786E+07,1634.912,-0.1523995,3336.309,-0.3109965,-1.377741E-05
0.5071832,5.192004E-06,-6.750303,1.882829E-05,-13.3094,3.712325E-05,5.484607E-11
0.5071832,3.633E+08,548.7723,-0.001530663,1082,-0.00301797,-4.460659E-09
0.5071832,3.5786E+07,1692.12,-0.1577322,3336.309,-0.3109965,-1.426903E-05
0.5243272,5.525708E-06,-6.978479,1.946473E-05,-13.3094,3.712325E-05,5.676522E-11
0.5243272,3.633E+08,567.3221,-0.001582403,1082,-0.00301797,-4.616677E-09
0.5243272,3.5786E+07,1749.317,-0.1630639,3336.309,-0.3109965,-1.476826E-05
0.5416427,5.87388E-06,-7.208938,2.010754E-05,-13.3094,3.712325E-05,5.868402E-11
0.5416427,3.633E+08,586.0574,-0.001634661,1082,-0.00301797,-4.772687E-09
0.5416427,3.5786E+07,1807.087,-0.168449,3336.309,-0.3109965,-1.526741E-05
0.5584848,6.223064E-06,-7.433096,2.073277E-05,-13.3094,3.712325E-05,6.062201E-11
0.5584848,3.633E+08,604.2806,-0.00168549,1082,-0.00301797,-4.930186E-09
0.5584848,3.5786E+07,1863.278,-0.1736868,3336.309,-0.3109965,-1.577149E-05
0.5751548,6.578995E-06,-7.654964,2.135162E-05,-13.3094,3.712325E-05,6.250702E-11
0.5751548,3.633E+08,622.3175,-0.0017358,1082,-0.00301797,-5.08341E-09
0.5751548,3.5786E+07,1918.894,-0.1788711,3336.309,-0.3109965,-1.626181E-05
0.5927091,6.965248E-06,-7.888601,2.200329E-05,-13.3094,3.712325E-05,6.437276E-11
0.5927091,3.633E+08,641.3113,-0.001788778,1082,-0.00301797,-5.235186E-09
0.5927091,3.5786E+07,1977.46,-0.1843305,3336.309,-0.3109965,-1.674725E-05
0.6095035,7.345251E-06,-8.112124,2.262675E-05,-13.3094,3.712325E-05,6.633748E-11
0.6095035,3.633E+08,659.4828,-0.001839463,1082,-0.00301797,-5.394825E-09
0.6095035,3.5786E+07,2033.492,-0.1895535,3336.309,-0.3109965,-1.725824E-05
0.6261735,7.732755E-06,-8.333992,2.32456E-05,-13.3094,3.712325E-05,6.821716E-11
0.6261735,3.633E+08,677.5198,-0.001889773,1082,-0.00301797,-5.547621E-09
0.6261735,3.5786E+07,2089.108,-0.1947378,3336.309,-0.3109965,-1.774718E-05
0.6428435,8.130575E-06,-8.55586,2.386444E-05,-13.3094,3.712325E-05,7.00829E-11
0.6428435,3.633E+08,695.5567,-0.001940082,1082,-0.00301797,-5.699299E-09
0.6428435,3.5786E+07,2144.724,-0.1999221,3336.309,-0.3109965,-1.823252E-05
0.6595283,8.539083E-06,-8.777925,2.448383E-05,-13.3094,3.712325E-05,7.194866E-11
0.6595283,3.633E+08,713.6097,-0.001990436,1082,-0.00301797,-5.850979E-09
0.6595283,3.5786E+07,2200.39,-0.205111,3336.309,-0.3109965,-1.871786E-05
0.6764551,8.964153E-06,-9.00321,2.511221E-05,-13.3094,3.712325E-05,7.381606E-11
0.6764551,3.633E+08,731.9245,-0.002041521,1082,-0.00301797,-6.002818E-09
0.6764551,3.5786E+07,2256.863,-0.2103752,3336.309,-0.3109965,-1.920365E-05
0.6935338,9.403865E-06,-9.230517,2.574623E-05,-13.3094,3.712325E-05,7.571056E-11
